abaddho,baddho
diṭṭhiyogavisaṃyogo,diṭṭhi+yoga+visaṃyogo
diṭṭhiyogaṃ,diṭṭhi+yogaṃ
diṭṭhiyogena,diṭṭhi+yogena
diṭṭhiyogo,diṭṭhi+yogo
diṭṭhiyāpi,diṭṭhiyā+pi
diṭṭhiṭṭhānappahāyinaṃ,diṭṭhi+ṭhāna+pahāyinaṃ
diṭṭhiṭṭhānaṃ,diṭṭhi+ṭhānaṃ
diṭṭhiṭṭhānā,diṭṭhi+ṭhānā
diṭṭhiṭṭhānāni,diṭṭhi+ṭhānāni
diṭṭhoghassa,diṭṭhi+oghassa
diṭṭhogho,diṭṭhi+ogho
diṭṭhupādānassa,diṭṭhi+upādānassa
diṭṭhupādānaṃ,diṭṭhi+upādānaṃ
domanassadhātu,domanassa+dhātu
domanassaṭṭhāniyaṃ,domanassa+ṭhāniyaṃ
domanassaṭṭhānīyaṃ,domanassa+ṭhānīyaṃ
domanassindriyaṃ,domanassa+indriyaṃ
domanassupavicārā,domanassa+upavicārā
dosaabhiññādisuttāni,dosa+abhiññā+ādi+suttāni
dosadhammaṃ,dosa+dhammaṃ
dosadhammā,dosa+dhammā
dosadhammāpi,dosa+dhammā+pi
dosagaru,dosa+garu
dosagataṃ,dosa+gataṃ
dosaggi,dosa+aggi
dosagginā,dosa+agginā
dosahetukampi,dosa+hetukam+pi
dosajañceva,dosajañ+ca+eva
dosajena,dosa+jena
dosakkhayaṃ,dosa+khayaṃ
dosakkhayo,dosa+khayo
dosakkhayā,dosa+khayā
dosantarena,dosa+antarena
dosantarenāti,dosa+antarenā+ti
dosantaro,dosa+antaro
dosantarā,dosa+antarā
dosapariyuṭṭhitaṃ,dosa+pariyuṭṭhitaṃ
dosappahānāya,dosa+pahānāya
dosavepullattaṃ,dosa+vepullattaṃ
dosavinayapariyosānaṃ,dosa+vinaya+pariyosānaṃ
dosavinayapariyosāno,dosa+vinaya+pariyosānā
dosavinayapariyosānā,dosa+vinaya+pariyosānā
dosavinayo,dosa+vinayo
dosañca,dosañ+ca
dosāgatiṃ,dosa+gatiṃ,dosa+āgatiṃ
dovacassakaraṇehi,dovacassa+karaṇehi
dovacassakaraṇo,dovacassa+karaṇo
dovacassakaraṇā,dovacassa+karaṇā
dovacassatāsuttaṃ,dovacassatā+suttaṃ
doṇabrāhmaṇasuttaṃ,doṇa+brāhmaṇa+suttaṃ
doṇamite,doṇa+mite
doṇapākakuraṃ,doṇa+pāka+kuraṃ
doṇapākakurena,doṇa+pāka+kurena
doṇapākasuttaṃ,doṇa+pāka+suttaṃ
doṇasuttaṃ,doṇa+suttaṃ
dubbalakaraṇo,dubbala+karaṇo
dubbalakhādikā,dubbala+khādikā
dubbalikaraṇītveva,dubbali+karaṇī+ti+eva
dubbalīkaraṇe,dubbalī+karaṇe
dubbaṇṇakaraṇo,dubbaṇṇa+karaṇo
dubbaṇṇakaraṇī,dubbaṇṇa+karaṇī
dubbaṇṇiyamāyā,dubbaṇṇiya+māyā
dubbaṇṇiyasuttaṃ,dubbaṇṇiya+suttaṃ
dubbhāsitabhāsī,dubbhāsita+bhāsī
duccaritasuttaṃ,duccarita+suttaṃ
duccaritavaggo,duccarita+vaggo
duccaritavipākasuttaṃ,duccarita+vipāka+suttaṃ
duccaritādikathā,duccarita+ādi+kathā
duccintitacintī,duccintita+cintī
duddiṭṭharūpaṃ,duddiṭṭha+rūpaṃ
duggahitagāhī,duggahita+gāhī
duggandhaṃyeva,duggandhaṃ+yeva
duggatasuttaṃ,duggata+suttaṃ
duggatibhayasuttaṃ,duggati+bhaya+suttaṃ
duggatibhayaṃ,duggati+bhayaṃ
duggatigāminaṃ,duggati+gāminaṃ
duggativinipātabhayasuttaṃ,duggati+vinipāta+bhaya+suttaṃ
duhasandanāni,duha+sandanāni
dukanipātapāḷi,duka+nipāta+pāḷi
dukhañca,dukhañ+ca
dukhudrayaṃ,dukha+udrayaṃ
dukkarakārako,dukkara+kārako
dukkarakārikāya,dukkara+kārikāya
dukkaranti,dukkaran+ti
dukkarapañhāsuttaṃ,dukkara+pañhā+suttaṃ
dukkarasuttaṃ,dukkara+suttaṃ
dukkarañcāpi,dukkarañ+cā+pi
dukkathāsuttaṃ,dukkathā+suttaṃ
dukkaṭakammakārino,dukkaṭa+kamma+kārino
dukkaṭakammakārī,dukkaṭa+kamma+kārī
dukkaṭakārinā,dukkaṭa+kārinā
dukkaṭamattano,dukkaṭam+attano
dukkhabahulā,dukkha+bahulā
dukkhachandādisuttaṃ,dukkha+chanda+ādi+suttaṃ
dukkhadhammasuttaṃ,dukkha+dhamma+suttaṃ
dukkhadhammena,dukkha+dhammena
dukkhadhammo,dukkha+dhammo
dukkhadhammā,dukkha+dhammā
dukkhadhammānaṃ,dukkha+dhammānaṃ
dukkhadhātu,dukkha+dhātu
dukkhadomanassānaṃ,dukkha+domanassānaṃ
dukkhadukkhatā,dukkha+dukkhatā
dukkhakkhandhassa,dukkha+khandhassa
dukkhakkhandhaṃ,dukkha+khandhaṃ
dukkhakkhandho,dukkha+khandho
dukkhakkhayagāminiyā,dukkha+khaya+gāminiyā
dukkhakkhayagāmī,dukkha+khaya+gāmī
dukkhakkhayo,dukkha+khayo
dukkhakkhayā,dukkha+khayā
dukkhakkhayāya,dukkha+khayāya
dukkhakkhayāyā,dukkha+khayāyā,dukkha+khayāya
dukkhamacceti,dukkham+acceti
dukkhamaddakkhi,dukkham+addakkhi
dukkhamaddakkhu,dukkham+addakkhu
dukkhamanattā,dukkham+anattā
dukkhamaticca,dukkham+aticca
dukkhametaṃ,dukkham+etaṃ
dukkhameti,dukkham+eti
dukkhameva,dukkham+eva
dukkhampi,dukkham+pi,dukkhan+pi
dukkhamūlaṃ,dukkha+mūlaṃ
dukkhanibbānasappāyasuttaṃ,dukkha+nibbāna+sappāya+suttaṃ
dukkhanidānassa,dukkha+nidānassa
dukkhanirodhagāminiyā,dukkha+nirodha+gāminiyā
dukkhanirodhagāminiñca,dukkha+nirodha+gāminiñ+ca
dukkhanirodhagāminiṃ,dukkha+nirodha+gāminiṃ
dukkhanirodhagāminī,dukkha+nirodha+gāminī
dukkhanirodhampi,dukkha+nirodham
dukkhanirodhassa,dukkha+nirodhassa
dukkhanirodhañca,dukkha+nirodhañ+ca
dukkhanirodhaṃ,dukkha+nirodhaṃ,dukkha+nirodho
dukkhanirodhe,dukkha+nirodhe
dukkhanirodho,dukkha+nirodho
dukkhanirodhoti,dukkha+nirodho+ti
dukkhantagunā,dukkha+anta+gunā
dukkhanti,dukkhan+ti
dukkhantipi,dukkhan+ti+pi
dukkhanudaṃ,dukkha+nudaṃ
dukkhaparetasmiṃ,dukkha+paretasmiṃ
dukkhapareto,dukkha+pareto
dukkhaparetā,dukkha+paretā
dukkhapañhāsuttaṃ,dukkha+pañhā+suttaṃ
dukkhapaññatti,dukkha+paññatti
dukkhapaṭikkūlaṃ,dukkha+paṭikkūlaṃ
dukkhapaṭikūle,dukkha+paṭikūle
dukkhapaṭikūlo,dukkha+paṭikūlo
dukkhapaṭikūlā,dukkha+paṭikūlā
dukkhappaṭikkūlo,dukkha+paṭikkūlo
dukkhappaṭikūlaṃ,dukkha+paṭikūlaṃ
dukkhappaṭikūlo,dukkha+paṭikūlo
dukkhasaccaniddeso,dukkha+sacca+niddeso
dukkhasambhūtaṃ,dukkha+sambhūtaṃ
dukkhasambhūtā,dukkha+sambhūtā
dukkhasammataṃ,dukkha+sammataṃ
dukkhasamphassatāya,dukkha+samphassatāya
dukkhasamphasseyeva,dukkha+samphasse+yeva
dukkhasamphasso,dukkha+samphasso
dukkhasamudayagāminī,dukkha+samudaya+gāminī
dukkhasamudayampi,dukkha+samudayam
dukkhasamudayasambhavo,dukkha+samudaya+sambhavo
dukkhasamudayassa,dukkha+samudayassa
dukkhasamudayasuttaṃ,dukkha+samudaya+suttaṃ
dukkhasamudayañca,dukkha+samudayañ+ca
dukkhasamudayaṃ,dukkha+samudayaṃ,dukkha+samudayo
dukkhasamudaye,dukkha+samudaye
dukkhasamudayo,dukkha+samudayo
dukkhasamudayoti,dukkha+samudayo+ti
dukkhasamuppādaṃ,dukkha+samuppādaṃ
dukkhasaññaṃ,dukkha+saññaṃ
dukkhasaññā,dukkha+saññā
dukkhasaññī,dukkha+saññī
dukkhasmāti,dukkhasmā+ti
dukkhassantakaro,dukkhassa+anta+karo,dukkhassanta+karo,dukkha+santa+karo
dukkhassantakiriyaṃ,dukkhassa+anta+kiriyaṃ
dukkhassantakiriyāya,dukkhassanta+kiriyāya
dukkhassantaṃ,dukkhassa+antaṃ
dukkhasseso,dukkhassa+eso
dukkhasuttaṃ,dukkha+suttaṃ
dukkhatāsuttaṃ,dukkhatā+suttaṃ
dukkhavaggo,dukkha+vaggo
dukkhavedanā,dukkha+vedanā
dukkhavedanīyaṃ,dukkha+vedanīyaṃ
dukkhavinayo,dukkha+vinayo
dukkhavipākasuttaṃ,dukkha+vipāka+suttaṃ
dukkhavipākatarā,dukkha+vipākatarā
dukkhavipākañca,dukkha+vipākañ+ca
dukkhavipākaṃ,dukkha+vipākaṃ
dukkhavipāke,dukkha+vipāke
dukkhavipākehi,dukkha+vipākehi
dukkhavipāko,dukkha+vipāko
dukkhavipākā,dukkha+vipākā
dukkhavipākāni,dukkha+vipākāni
dukkhañca,dukkhañ+ca
dukkhañceva,dukkhañ+ca+eva
dukkhañcā,dukkhañ+cā
dukkhindriyassa,dukkha+indriyassa
dukkhindriyañca,dukkha+indriyañ
dukkhindriyaṃ,dukkha+indriyaṃ
dukkhitopi,dukkhito+pi
dukkhotiṇṇo,dukkha+otiṇṇo
dukkhotiṇṇā,dukkha+otiṇṇā
dukkhudrayasuttaṃ,dukkha+udraya+suttaṃ
dukkhudrayañca,dukkha+udrayañ+ca
dukkhudrayaṃ,dukkha+udrayaṃ
dukkhudrayo,dukkha+udrayo
dukkhudrayā,dukkha+udrayā
dukkhudrayāni,dukkha+udrayāni
dukkhāpi,dukkhā+pi
dukkhāti,dukkhā+ti
dukkhāyapi,dukkhāya+pi
dukkhāyāti,dukkhāyā+ti
dukāti,dukā+ti
dukūlasandanāni,dukūla+sandanāni
dullabhapiṇḍaṃ,dullabha+piṇḍaṃ
dullabhapiṇḍā,dullabha+piṇḍā
dullabhasuttaṃ,dullabha+suttaṃ
dullabhoti,dullabho+ti
dunnikkhittañca,dunnikkhittañ+ca
duppaññajātiko,duppañña+jātiko
duppaññakavinā,duppañña+kavinā
duppaññasuttaṃ,duppañña+suttaṃ
duppaññenāti,duppaññena+ti
duppaññoti,duppañño+ti
duppaṭivinodayasuttaṃ,duppaṭivinodaya+suttaṃ
durattavaṇṇamevassa,duratta+vaṇṇam+eva+assa
duruttavādinī,durutta+vādinī
dussakaraṇḍako,dussa+karaṇḍako
dussapaṭṭe,dussa+paṭṭe
dussayugasatānaṃ,dussa+yuga+satānaṃ
dussayugasatāni,dussa+yuga+satāni
dussayugaṃ,dussa+yugaṃ
dussayugena,dussa+yugena
dussutampi,dussutam+pi
dussīlarūpā,dussīla+rūpā
dussīlasuttaṃ,dussīla+suttaṃ
dussīlaādīnavā,dussīla+ādīnavā
dussīlyamalañcassa,dussīlya+malañ+ca+assa
dussīlyañcassa,dussīlyañ+ca+assa
dutiyaabhabbaṭṭhānasuttaṃ,dutiya+abhabba+ṭhāna+suttaṃ
dutiyaabhinivesasuttaṃ,dutiya+abhinivesa+suttaṃ
dutiyaabhisandasuttaṃ,dutiya+abhisanda+suttaṃ
dutiyaadhammasuttaṃ,dutiya+adhamma+suttaṃ
dutiyaagatisuttaṃ,dutiya+agati+suttaṃ
dutiyaaggasuttaṃ,dutiya+agga+suttaṃ
dutiyaaggisuttaṃ,dutiya+aggi+suttaṃ
dutiyaagāravasuttaṃ,dutiya+agārava+suttaṃ
dutiyaakkhantisuttaṃ,dutiya+akkhanti+suttaṃ
dutiyaanattasuttaṃ,dutiya+anatta+suttaṃ
dutiyaaniccasuttaṃ,dutiya+anicca+suttaṃ
dutiyaanudhammasuttaṃ,dutiya+anudhamma+suttaṃ
dutiyaanuruddhasuttaṃ,dutiya+anuruddha+suttaṃ
dutiyaanusayasuttaṃ,dutiya+anusaya+suttaṃ
dutiyaanāthapiṇḍikasuttaṃ,dutiya+anāthapiṇḍika+suttaṃ
dutiyaanāyussāsuttaṃ,dutiya+anāyussā+suttaṃ
dutiyaaparihānasuttaṃ,dutiya+aparihāna+suttaṃ
dutiyaaparijānanasuttaṃ,dutiya+aparijānana+suttaṃ
dutiyaappiyasuttaṃ,dutiya+appiya+suttaṃ
dutiyaaputtakasuttaṃ,dutiya+aputtaka+suttaṃ
dutiyaapāsādikasuttaṃ,dutiya+apāsādika+suttaṃ
dutiyaarahantasuttaṃ,dutiya+arahanta+suttaṃ
dutiyaariyasāvakasuttaṃ,dutiya+ariya+sāvaka+suttaṃ
dutiyaariyāvāsasuttaṃ,dutiya+ariya+āvāsa+suttaṃ
dutiyaasappurisasuttaṃ,dutiya+asappurisa+suttaṃ
dutiyaasekhasuttaṃ,dutiya+asekha+suttaṃ
dutiyaassutavāsuttaṃ,dutiya+assutavā+suttaṃ
dutiyaassādapariyesanasuttaṃ,dutiya+assāda+pariyesana+suttaṃ
dutiyaassādasuttaṃ,dutiya+assāda+suttaṃ
dutiyaavijjāpaccayasuttaṃ,dutiya+avijjā+paccaya+suttaṃ
dutiyaavijjāpahānasuttaṃ,dutiya+avijjā+pahāna+suttaṃ
dutiyaaññatarabhikkhusuttaṃ,dutiya+aññatara+bhikkhu+suttaṃ
dutiyabalasuttaṃ,dutiya+bala+suttaṃ
dutiyabandhanasuttaṃ,dutiya+bandhana+suttaṃ
dutiyabhavasuttaṃ,dutiya+bhava+suttaṃ
dutiyabhayasuttaṃ,dutiya+bhaya+suttaṃ
dutiyabhikkhusuttaṃ,dutiya+bhikkhu+suttaṃ
dutiyabhāṇavāro,dutiya+bhāṇa+vāro
dutiyabrahmacariyasuttaṃ,dutiya+brahmacariya+suttaṃ
dutiyabrahmaññasuttaṃ,dutiya+brahmañña+suttaṃ
dutiyabāhiraphassanānattasuttaṃ,dutiya+bāhira+phassa+nānatta+suttaṃ
dutiyacatumahārājasuttaṃ,dutiya+catu+mahā+rāja+suttaṃ
dutiyacetanāsuttaṃ,dutiya+cetanā+suttaṃ
dutiyacetovimuttiphalasuttaṃ,dutiya+ceto+vimutti+phala+suttaṃ
dutiyachandappahānasuttaṃ,dutiya+chanda+pahāna+suttaṃ
dutiyachandarāgasuttaṃ,dutiya+chanda+rāga+suttaṃ
dutiyachaphassāyatanasuttaṃ,dutiya+cha+phassa+āyatana+suttaṃ
dutiyachiggaḷayugasuttaṃ,dutiya+chiggaḷa+yuga+suttaṃ
dutiyadasabalasuttaṃ,dutiya+dasa+bala+suttaṃ
dutiyadevacārikasuttaṃ,dutiya+deva+cārika+suttaṃ
dutiyadevapadasuttaṃ,dutiya+deva+pada+suttaṃ
dutiyadhammakathikasuttaṃ,dutiya+dhamma+kathika+suttaṃ
dutiyadhammavihārīsuttaṃ,dutiya+dhamma+vihārī+suttaṃ
dutiyadhāraṇasuttaṃ,dutiya+dhāraṇa+suttaṃ
dutiyaduccaritasuttaṃ,dutiya+duccarita+suttaṃ
dutiyadukkhasuttaṃ,dutiya+dukkha+suttaṃ
dutiyadukkhuppādasuttaṃ,dutiya+dukkha+uppāda+suttaṃ
dutiyadvayasuttaṃ,dutiya+dvaya+suttaṃ
dutiyadvebrāhmaṇasuttaṃ,dutiya+dve+brāhmaṇa+suttaṃ
dutiyadānasuttaṃ,dutiya+dāna+suttaṃ
dutiyadīghacārikasuttaṃ,dutiya+dīgha+cārika+suttaṃ
dutiyaejāsuttaṃ,dutiya+ejā+suttaṃ
dutiyaekadhammapeyyālavaggo,dutiya+eka+dhamma+peyyāla+vaggo
dutiyagaddulabaddhasuttaṃ,dutiya+gaddula+baddha+suttaṃ
dutiyagamanavaggo,dutiya+gamana+vaggo
dutiyagamane,dutiya+gamane
dutiyagaṅgāpeyyālavaggo,dutiya+gaṅgā+peyyāla+vaggo
dutiyagelaññasuttaṃ,dutiya+gelañña+suttaṃ
dutiyagilānasuttaṃ,dutiya+gilāna+suttaṃ
dutiyagiñjakāvasathasuttaṃ,dutiya+giñjakāvasatha+suttaṃ
dutiyahatthakasuttaṃ,dutiya+hatthaka+suttaṃ
dutiyahitasuttaṃ,dutiya+hita+suttaṃ
dutiyahāliddikānisuttaṃ,dutiya+hāliddikāni+suttaṃ
dutiyaiddhipādasuttaṃ,dutiya+iddhi+pāda+suttaṃ
dutiyaidhalokikasuttaṃ,dutiya+idha+lokika+suttaṃ
dutiyaisidattasuttaṃ,dutiya+isidatta+suttaṃ
dutiyajanasuttaṃ,dutiya+jana+suttaṃ
dutiyajhānapañhāsuttaṃ,dutiya+jhāna+pañhā+suttaṃ
dutiyajhānasuttādisattakaṃ,dutiya+jhāna+sutta+ādi+sattakaṃ
dutiyajjhānasahagataṃ,dutiya+jhāna+sahagataṃ
dutiyajjhānā,dutiya+jhānā
dutiyakappasuttaṃ,dutiya+kappa+suttaṃ
dutiyakassapasuttaṃ,dutiya+kassapa+suttaṃ
dutiyakathāvatthusuttaṃ,dutiya+kathā+vatthu+suttaṃ
dutiyakaṇhasappasuttaṃ,dutiya+kaṇha+sappa+suttaṃ
dutiyakaṇḍakīsuttaṃ,dutiya+kaṇḍakī+suttaṃ
dutiyakhamasuttaṃ,dutiya+khama+suttaṃ
dutiyakhatasuttaṃ,dutiya+khata+suttaṃ
dutiyakodhagarusuttaṃ,dutiya+kodha+garu+suttaṃ
dutiyakosalasuttaṃ,dutiya+kosala+suttaṃ
dutiyakoṭigāmasuttaṃ,dutiya+koṭi+gāma+suttaṃ
dutiyakoṭṭhikasuttaṃ,dutiya+koṭṭhika+suttaṃ
dutiyakukkuṭārāmasuttaṃ,dutiya+kukkuṭa+ārāma+suttaṃ
dutiyakulaputtasuttaṃ,dutiya+kula+putta+suttaṃ
dutiyakusalasuttaṃ,dutiya+kusala+suttaṃ
dutiyakālasuttaṃ,dutiya+kāla+suttaṃ
dutiyakāmabhūsuttaṃ,dutiya+kāmabhū+suttaṃ
dutiyakāyaduccaritasuttaṃ,dutiya+kāya+duccarita+suttaṃ
dutiyalokadhammasuttaṃ,dutiya+loka+dhamma+suttaṃ
dutiyamacchariyasuttaṃ,dutiya+macchariya+suttaṃ
dutiyamaggasuttaṃ,dutiya+magga+suttaṃ
dutiyamahaddhanasuttaṃ,dutiya+maha+dhana+suttaṃ
dutiyamahānāmasuttaṃ,dutiya+mahānāma+suttaṃ
dutiyamahāpathavīsuttaṃ,dutiya+mahā+pathavī+suttaṃ
dutiyamahāpañhāsuttaṃ,dutiya+mahā+pañhā+suttaṃ
dutiyamahārukkhasuttaṃ,dutiya+mahā+rukkha+suttaṃ
dutiyamahāsamuddasuttaṃ,dutiya+mahā+samudda+suttaṃ
dutiyamanoduccaritasuttaṃ,dutiya+mano+duccarita+suttaṃ
dutiyamaraṇassatisuttaṃ,dutiya+maraṇa+sati+suttaṃ
dutiyameghasuttaṃ,dutiya+megha+suttaṃ
dutiyamettāsuttaṃ,dutiya+mettā+suttaṃ
dutiyamigajālasuttaṃ,dutiya+migajāla+suttaṃ
dutiyamittasuttaṃ,dutiya+mitta+suttaṃ
dutiyamoranivāpasuttaṃ,dutiya+mora+nivāpa+suttaṃ
dutiyampi,dutiyam+pi
dutiyamārapāsasuttaṃ,dutiya+māra+pāsa+suttaṃ
dutiyanandikkhayasuttaṃ,dutiya+nandi+khaya+suttaṃ
dutiyanatumhākaṃsuttaṃ,dutiya+na+tumhākaṃ+suttaṃ
dutiyanayabhūmiparicchedo,dutiya+naya+bhūmi+paricchedo
dutiyanaḷakapānasuttaṃ,dutiya+naḷakapāna+suttaṃ
dutiyaniddasasuttaṃ,dutiya+niddasa+suttaṃ
dutiyanidānasuttaṃ,dutiya+nidāna+suttaṃ
dutiyanirayasaggasuttaṃ,dutiya+niraya+sagga+suttaṃ
dutiyanirayasuttaṃ,dutiya+niraya+suttaṃ
dutiyanoceassādasuttaṃ,dutiya+no+ce+assāda+suttaṃ
dutiyanānākaraṇasuttaṃ,dutiya+nānā+karaṇa+suttaṃ
dutiyanāthasuttaṃ,dutiya+nātha+suttaṃ
dutiyaovādasuttaṃ,dutiya+ovāda+suttaṃ
dutiyapabbatasuttaṃ,dutiya+pabbata+suttaṃ
dutiyapaccorohaṇīsuttaṃ,dutiya+paccorohaṇī+suttaṃ
dutiyapajjunnadhītusuttaṃ,dutiya+pajjunna+dhītu+suttaṃ
dutiyapamādādivaggo,dutiya+pamāda+ādi+vaggo
dutiyaparihānisuttaṃ,dutiya+parihāni+suttaṃ
dutiyaparipucchitasuttaṃ,dutiya+paripucchita+suttaṃ
dutiyaparisuddhasuttaṃ,dutiya+parisuddha+suttaṃ
dutiyapathavīsuttaṃ,dutiya+pathavī+suttaṃ
dutiyapatthanāsuttaṃ,dutiya+patthanā+suttaṃ
dutiyapañcaverabhayasuttaṃ,dutiya+pañca+vera+bhaya+suttaṃ
dutiyapaṇṇāsakaṃ,dutiya+paṇṇāsakaṃ
dutiyapaṇṇāsako,dutiya+paṇṇāsako
dutiyapaṭipadāsuttaṃ,dutiya+paṭipadā+suttaṃ
dutiyapaṭipattisuttaṃ,dutiya+paṭipatti+suttaṃ
dutiyapaṭisambhidāsuttaṃ,dutiya+paṭisambhidā+suttaṃ
dutiyapeyyālavaggo,dutiya+peyyāla+vaggo
dutiyapeyyālo,dutiya+peyyālo
dutiyaphalasuttaṃ,dutiya+phala+suttaṃ
dutiyapiyasuttaṃ,dutiya+piya+suttaṃ
dutiyapubbesambodhasuttaṃ,dutiya+pubbe+sambodha+suttaṃ
dutiyapubbārāmasuttaṃ,dutiya+pubba+ārāma+suttaṃ
dutiyapuggalasuttaṃ,dutiya+puggala+suttaṃ
dutiyapāpadhammasuttaṃ,dutiya+pāpa+dhamma+suttaṃ
dutiyapāpaṇikasuttaṃ,dutiya+pāpaṇika+suttaṃ
dutiyarahogatasuttaṃ,dutiya+raho+gata+suttaṃ
dutiyarohitassasuttaṃ,dutiya+rohitassa+suttaṃ
dutiyarukkhasuttaṃ,dutiya+rukkha+suttaṃ
dutiyarāhulasuttaṃ,dutiya+rāhula+suttaṃ
dutiyarūpārāmasuttaṃ,dutiya+rūpa+ārāma+suttaṃ
dutiyasabbupādānapariyādānasuttaṃ,dutiya+sabba+upādāna+pariyādāna+suttaṃ
dutiyasaddhammasammosasuttaṃ,dutiya+saddhamma+sammosa+suttaṃ
dutiyasaddhāsuttaṃ,dutiya+saddhā+suttaṃ
dutiyasamajīvīsuttaṃ,dutiya+sama+jīvī+suttaṃ
dutiyasamayasuttaṃ,dutiya+samaya+suttaṃ
dutiyasamayavimuttasuttaṃ,dutiya+samaya+vimutta+suttaṃ
dutiyasamaṇabrāhmaṇasuttaṃ,dutiya+samaṇa+brāhmaṇa+suttaṃ
dutiyasamaṇasuttaṃ,dutiya+samaṇa+suttaṃ
dutiyasambahulasuttaṃ,dutiya+sambahula+suttaṃ
dutiyasambhejjaudakasuttaṃ,dutiya+sambhejja+udaka+suttaṃ
dutiyasammattaniyāmasuttaṃ,dutiya+sammatta+niyāma+suttaṃ
dutiyasampadāsuttaṃ,dutiya+sampadā+suttaṃ
dutiyasamudayadhammasuttaṃ,dutiya+samudaya+dhamma+suttaṃ
dutiyasamudayasuttaṃ,dutiya+samudaya+suttaṃ
dutiyasamuddasuttaṃ,dutiya+samudda+suttaṃ
dutiyasamugghātasappāyasuttaṃ,dutiya+samugghāta+sappāya+suttaṃ
dutiyasamādhisuttaṃ,dutiya+samādhi+suttaṃ
dutiyasandiṭṭhikasuttaṃ,dutiya+sandiṭṭhika+suttaṃ
dutiyasandiṭṭhikasāmaññaphalaṃ,dutiya+sandiṭṭhika+sāmañña+phalaṃ
dutiyasaraṇānisakkasuttaṃ,dutiya+saraṇāni+sakka+suttaṃ
dutiyasattakasuttaṃ,dutiya+sattaka+suttaṃ
dutiyasatthusuttādidasakaṃ,dutiya+satthu+sutta+ādi+dasakaṃ
dutiyasañcetanikasuttaṃ,dutiya+sañcetanika+suttaṃ
dutiyasaññāsuttaṃ,dutiya+saññā+suttaṃ
dutiyasaṃbhejjasuttaṃ,dutiya+saṃbhejja+suttaṃ
dutiyasaṃkhittasuttaṃ,dutiya+saṃkhitta+suttaṃ
dutiyasaṃyojanasuttaṃ,dutiya+saṃyojana+suttaṃ
dutiyasaṅgāmasuttaṃ,dutiya+saṅgāma+suttaṃ
dutiyasekhasuttaṃ,dutiya+sekha+suttaṃ
dutiyasikkhattayasuttaṃ,dutiya+sikkha+taya+suttaṃ
dutiyasikkhāpadasuttaṃ,dutiya+sikkhāpada+suttaṃ
dutiyasikkhāsuttaṃ,dutiya+sikkhā+suttaṃ
dutiyasinerupabbatarājasuttaṃ,dutiya+sineru+pabbata+rāja+suttaṃ
dutiyasiṅgālasuttaṃ,dutiya+siṅgāla+suttaṃ
dutiyasoceyyasuttaṃ,dutiya+soceyya+suttaṃ
dutiyasotāpannasuttaṃ,dutiya+sotāpanna+suttaṃ
dutiyasovacassatāsuttaṃ,dutiya+sovacassatā+suttaṃ
dutiyasoṇasuttaṃ,dutiya+soṇa+suttaṃ
dutiyasukhasuttaṃ,dutiya+sukha+suttaṃ
dutiyasukkāsuttaṃ,dutiya+sukkā+suttaṃ
dutiyasutasuttaṃ,dutiya+suta+suttaṃ
dutiyasuttaṃ,dutiya+suttaṃ
dutiyasāmaññasuttaṃ,dutiya+sāmañña+suttaṃ
dutiyasāraṇīyasuttaṃ,dutiya+sāraṇīya+suttaṃ
dutiyasāriputtakoṭṭhikasuttaṃ,dutiya+sāriputta+koṭṭhika+suttaṃ
dutiyasāriputtasuttaṃ,dutiya+sāriputta+suttaṃ
dutiyasīlasuttaṃ,dutiya+sīla+suttaṃ
dutiyasūcilomasuttaṃ,dutiya+sūci+loma+suttaṃ
dutiyasūriyasuttaṃ,dutiya+sūriya+suttaṃ
dutiyatajjhānasuttaṃ,dutiya+taṃ+jhāna+suttaṃ
dutiyatathāgataacchariyasuttaṃ,dutiya+tathāgata+acchariya+suttaṃ
dutiyauggasuttaṃ,dutiya+ugga+suttaṃ
dutiyaupanisasuttaṃ,dutiya+upanisa+suttaṃ
dutiyaupanisāsuttaṃ,dutiya+upanisā+suttaṃ
dutiyaupaṭṭhākasuttaṃ,dutiya+upaṭṭhāka+suttaṃ
dutiyauposathasuttaṃ,dutiya+uposatha+suttaṃ
dutiyauppannasuttaṃ,dutiya+uppanna+suttaṃ
dutiyauppādasuttaṃ,dutiya+uppāda+suttaṃ
dutiyaupādāparitassanāsuttaṃ,dutiya+upādā+paritassanā+suttaṃ
dutiyauruvelasuttaṃ,dutiya+uruvela+suttaṃ
dutiyavacīduccaritasuttaṃ,dutiya+vacī+duccarita+suttaṃ
dutiyavagge,dutiya+vagge
dutiyavaggo,dutiya+vaggo
dutiyavalāhakasuttaṃ,dutiya+valāhaka+suttaṃ
dutiyavasasuttaṃ,dutiya+vasa+suttaṃ
dutiyavaḍḍhisuttaṃ,dutiya+vaḍḍhi+suttaṃ
dutiyavedanānānattasuttaṃ,dutiya+vedanā+nānatta+suttaṃ
dutiyaverasuttaṃ,dutiya+vera+suttaṃ
dutiyavibhaṅgasuttaṃ,dutiya+vibhaṅga+suttaṃ
dutiyavihārasuttaṃ,dutiya+vihāra+suttaṃ
dutiyavinayadharasobhanasuttaṃ,dutiya+vinaya+dhara+sobhana+suttaṃ
dutiyavinayadharasuttaṃ,dutiya+vinaya+dhara+suttaṃ
dutiyavisākhāsuttaṃ,dutiya+visākhā+suttaṃ
dutiyavitthārasuttaṃ,dutiya+vitthāra+suttaṃ
