ajjhattāniccātītānāgatasuttaṃ,ajjhatta+anicca2+atīta+anāgata2+suttaṃ
ajjhattānāgatāniccasuttaṃ,ajjhatta+anāgata1+anicca+suttaṃ
ajjhattātītādianattasuttaṃ,ajjhatta+atīta2+ādi2+anatta+suttaṃ
ajjhattātītādidukkhasuttaṃ,ajjhatta+atīta2+ādi2+dukkha+suttaṃ
ajjhattātītādiyadanattasuttaṃ,ajjhatta+atīta2+ādi2+yad2+anatta+suttaṃ
ajjhattātītādiyaṃdukkhasuttaṃ,ajjhatta+atīta2+ādi2+yaṃ5+dukkha+suttaṃ
ajjhattātītāniccasuttaṃ,ajjhatta+atīta4+anicca+suttaṃ
ajjhosānanirodhā,ajjhosāna+nirodhā
ajjhosānañca,ajjhosānañ+ca
ajjhāvaseyyanti,ajjhāvaseyyan+ti
ajānameva,ajānam+eva
akalaho,a+kalaho
akalyāṇavākkaraṇo,akalyāṇa+vāk2+karaṇo5
akantarūpaññeva,akanta1+rūpaññyeva
akantarūpaṃ,akanta+rūpaṃ1+rūpaṃ1
akantarūpaṃyeva,akanta+rūpaṃ1+yeva
akappiyampi,a+kappiyaṃ+pi
akasiralābhiniyo,akasira+lābhiniyo
akatakalyāṇo,akata+kalyāṇo
akatakibbiso,akata+kibbiso
akataluddo,akata+luddo
akatapāpo,akata+pāpo
akhilajāto,akhila1+jāto1
akhīlajāto,akhīla1+jāto1
akhīṇāsavo,akhīṇa+āsavo
akicchalābhiniyo,akiccha+lābhīniyo
akkhitārakā,akkhi+tārakā2
akkoseyyapi,akkoseyya+pi
akkosikaparibhāsikā,akkosika+paribhāsikā
akotūhalamaṅgaliko,a+kotūhala+maṅgaliko
akuppadhammopī,akuppa2+dhammo+pi
akusaladhammappahānāya,akusala+dhamma9+pahānāya5
akusalūpasaṃhitaṃ,akusala5+upasaṃhitaṃ
akutobhayo,a+kuto2+bhayo1
akāpurisasevito,akāpurisa+sevito
akāyūpago,a+kāya6+upago
alabbhametaṃ,alabbham+etam
alamatthadasatarena,alam+attha19+dasatarehi
alamatthadasatarā,alam+attha19+dasatarā
alamatthadasatarāti,alam+attha19+dasatarā+ti
alaṃvacanāyā,alaṃvacanā+yā
alaṅkārānaṃ,alaṅ1+kārānaṃ
alaṅkārūpavicārā,alaṅkāra1
allakappakāpi,allakappakā+pi
alobhanidānaṃ,alobha1+nidānaṃ
alobhanidānā,alobha+nidānaā
alobhapaccayā,alobha+paccayā5
alobhapakataṃ,alobha+pakataṃ
alobhasamudayaṃ,alobha2+samudayaṃ
alobhasamudayā,alobha+samudayā1
alābhakenapi,alābhakena+pi
alābhopi,alābho+pi
alīnacitto,alīna+citto
amanasikārādhikaraṇañca,amanasikāra+adhikaraṇañ+ca
amanāparūpaññeva,amanāpa+rūpaññeva
amanāparūpaṃ,amanāpa3+rūpaṃ1
amanāparūpaṃyeva,,amanāpa3+rūpaṃ1+yeva
amanāpasaddasaṃvattaniko,amanāpa+sadda6+saṃvattaniko
amatadundubhī,amata9+dundubhī
amatagāmiñca,amata10+gāmiñ+ca
amatapariyosānāti,amata+pariyosānā2+ti
amatañca,amatañ1+ca
ambakaṭṭhaṃ,amba+kaṭṭhaṃ
ambilaggassa,ambila+aggassa3
ambilaggaṃ,ambila+aggaṃ18
amittatopi,amittato+pi
amohanidānaṃ,amoha+nidānaṃ
amohanidānā,amoha+nidānaā
amohapaccayā,amoha2+paccayā5
amohapakataṃ,amoha+pakataṃ
amohasamudayaṃ,amoha1+samudayaṃ
amohasamudayā,amoha2+samudayā
amutrāgaccha,amutra2+āgaccha
amāhaṃ,amuṃ+ahaṃ
anabbhakkhātukāmā,anabbhakkhātu+kāmā1
anabbhācikkhitukāmā,anabbhācikkhitu+kāmā
anabhijjhālūhamasmi,anabhijjhālu4+aham+asmi
anabhijjhāpaccayā,anabhijjhā4+paccayā
anabhijjhāsahagatena,abhijjhā20+sahagatena1
anabhijjhāsahagatāya,abhijjhā20+sahagatāya
anabhijjhāti,abhijjhā11+ti
anabhiratasaññāparicitena,anabhirata+saññā+paricitena
anabhiratisaññā,anabhirati+asubha+saññā
